,Date,Price,High,Low,Close,Volume,Adj Close
72,2014-09-01,29.15,29.92,29.12,29.89,131838000,29.89
73,2014-09-08,29.96,30.18,29.16,29.25,153668000,29.25
74,2014-09-15,29.11,30.27,28.85,30.27,210612000,30.27
75,2014-09-22,30.13,30.19,29.24,29.4,158080000,29.4
76,2014-09-29,29.09,29.55,28.7,29.31,138274000,29.31
77,2014-10-06,29.5,29.62,27.75,27.76,208602000,27.76
78,2014-10-13,27.76,28.04,25.92,26.15,380064000,26.15
79,2014-10-20,26.02,27.87,25.96,27.44,250162000,27.44
80,2014-10-27,27.39,28.44,27.36,28.39,186834000,28.39
81,2014-11-03,28.18,28.36,27.47,27.59,156262000,27.59
82,2014-11-10,27.62,28.13,27.58,27.76,128660000,27.76
83,2014-11-17,27.76,27.76,26.96,27.29,185534000,27.29
84,2014-11-24,27.33,27.63,27.21,27.45,124954000,27.45
85,2014-12-01,27.25,27.44,26.36,26.4,207844000,26.4
86,2014-12-08,26.46,26.97,26.07,26.08,242850000,26.08
87,2014-12-15,26.19,26.27,24.86,26,387114000,26
88,2014-12-22,26.03,27.16,26.03,27.08,160958000,27.08
89,2014-12-29,27.02,27.2,26.39,26.48,116400000,26.48
90,2015-01-05,26.36,26.4,24.75,25.04,257610000,25.04
91,2015-01-12,24.96,25.54,24.55,25.52,271622000,25.52
92,2015-01-19,25.64,27.27,25.47,27.1,195186000,27.1
93,2015-01-26,27.08,27.16,25.17,26.88,306028000,26.88
94,2015-02-02,26.72,27.01,26.09,26.69,232450000,26.69
95,2015-02-09,26.55,27.63,26.38,27.56,212022000,27.56
96,2015-02-16,27.56,27.65,26.91,27.09,139406000,27.09
97,2015-02-23,26.95,28.47,26.55,28.13,224508000,28.13
98,2015-03-02,28.35,29.16,28.16,28.65,212406000,28.65
99,2015-03-09,28.55,28.77,27.52,27.65,175112000,27.65
100,2015-03-16,27.85,28.35,27.57,28.25,170052000,28.25
101,2015-03-23,28.3,29.09,27.85,27.88,246854000,27.88
102,2015-03-30,28.01,28.12,27.02,27.07,146382000,27.07
103,2015-04-06,26.94,27.58,26.78,27.43,147892000,27.43
104,2015-04-13,27.35,27.66,26.45,26.64,204450000,26.64
105,2015-04-20,26.69,29.24,26.67,28.68,269794000,28.68
106,2015-04-27,28.64,28.78,27.19,27.56,202674000,27.56
107,2015-05-04,27.55,27.83,26.61,27.45,162892000,27.45
108,2015-05-11,27.42,27.67,26.75,27.32,146554000,27.32
109,2015-05-18,27.19,27.91,27.11,27.73,163108000,27.73
110,2015-05-25,27.63,27.79,27.15,27.27,139308000,27.27
111,2015-06-01,27.44,27.94,27.18,27.48,143024000,27.48
112,2015-06-08,27.48,27.74,26.94,27.37,139008000,27.37
113,2015-06-15,27.14,27.9,26.96,27.88,184598000,27.88
114,2015-06-22,27.97,28.28,27.59,27.65,165432000,27.65
115,2015-06-29,27.34,27.55,26.98,27.37,131150000,27.37
116,2015-07-06,27.11,27.96,26.99,27.81,160056000,27.81
117,2015-07-13,27.98,35.15,27.93,34.98,527894000,34.98
118,2015-07-20,34.45,35.67,32.66,32.74,419994000,32.74
119,2015-07-27,32.58,33.4,32.58,32.88,204030000,32.88
120,2015-08-03,32.88,34,32.88,33.22,162188000,33.22
121,2015-08-10,33.35,35.2,33.01,34.47,266788000,34.47
122,2015-08-17,34.4,35.01,32.15,32.2,252262000,32.2
123,2015-08-24,30.03,33.7,29.65,32.98,386768000,32.98
124,2015-08-31,32.72,33.22,31.25,31.45,203074000,31.45
125,2015-09-07,32.05,32.87,31.65,32.76,142812000,32.76
126,2015-09-14,32.78,34.1,32.47,33.05,212036000,33.05
127,2015-09-21,33.28,33.45,31.98,32.01,209788000,32.01
128,2015-09-28,31.95,32.85,30.89,32.85,234024000,32.85
129,2015-10-05,33.08,33.94,32.72,33.56,196520000,33.56
130,2015-10-12,33.46,34.81,33.36,34.77,183894000,34.77
131,2015-10-19,34.7,37.63,33.53,35.97,329916000,35.97
132,2015-10-26,36,37.34,36,36.87,203662000,36.87
133,2015-11-02,36.73,38.32,36.57,38.08,197090000,38.08
134,2015-11-09,37.93,38.45,36.97,37,190842000,37
135,2015-11-16,37.01,38.97,36.72,38.85,209390000,38.85
136,2015-11-23,38.87,39.15,37.91,38.6,120574000,38.6
137,2015-11-30,38.59,39.65,38.06,38.96,212610000,38.96
138,2015-12-07,39,39.05,37.43,37.52,189900000,37.52
139,2015-12-14,37.56,39.08,36.81,37.84,260674000,37.84
140,2015-12-21,38.15,38.6,37.71,38.29,112192000,38.29
141,2015-12-28,38.5,39.93,38.39,38.9,130904000,38.9
142,2016-01-04,38.11,38.46,36.45,36.55,271442000,36.55
143,2016-01-11,36.6,37.65,35.08,35.52,281674000,35.52
144,2016-01-18,36.01,37.43,34.39,37.27,230248000,37.27
145,2016-01-25,37.19,38.26,35.67,38.07,256620000,38.07
146,2016-02-01,38.56,40.52,35.01,35.19,592960000,35.19
147,2016-02-08,34.38,36.16,34.1,35.34,345566000,35.34
148,2016-02-15,35.93,36.8,35.51,36.11,174792000,36.11
149,2016-02-22,36.48,36.81,35.1,36.24,194560000,36.24
150,2016-02-29,36.05,37.16,35.84,36.51,230522000,36.51
151,2016-03-07,36.26,37.24,35.2,37.24,233760000,37.24
152,2016-03-14,37.25,38.27,37.14,37.77,192748000,37.77
153,2016-03-21,37.7,38.27,37.53,37.74,106664000,37.74
154,2016-03-28,37.81,38.87,37.41,38.48,166362000,38.48
155,2016-04-04,38.48,38.62,37.78,37.97,125646000,37.97
156,2016-04-11,38.27,39.05,37.58,39,153292000,39
157,2016-04-18,39.01,39.55,36.52,36.89,330180000,36.89
158,2016-04-25,36.77,37.28,35.16,35.39,292436000,35.39
159,2016-05-02,35.6,36.3,35.2,36.26,175888000,36.26
160,2016-05-09,36.33,37.04,36.17,36.24,152880000,36.24
161,2016-05-16,36.22,36.79,35.52,36.09,153874000,36.09
162,2016-05-23,36,37.4,35.85,37.38,156920000,37.38
163,2016-05-30,37.44,37.67,36.7,36.79,121796000,36.79
164,2016-06-06,36.92,37.2,36.41,36.66,134850000,36.66
165,2016-06-13,36.49,36.95,35.06,35.21,200436000,35.21
166,2016-06-20,35.52,35.79,34.25,34.26,242966000,34.26
167,2016-06-27,34.12,35.63,33.63,35.51,212750000,35.51
168,2016-07-04,35.25,35.9,34.95,35.89,108462000,35.89
169,2016-07-11,35.97,37.05,35.94,36.78,129476000,36.78
170,2016-07-18,36.9,38.03,36.83,37.96,131618000,37.96
171,2016-07-25,37.88,40.2,37.64,39.57,252704000,39.57
172,2016-08-01,39.33,40.37,39.25,40.35,187394000,40.35
173,2016-08-08,40.3,40.69,40.08,40.35,118542000,40.35
174,2016-08-15,40.36,40.57,39.81,39.98,100784000,39.98
175,2016-08-22,39.93,40.05,39.36,39.66,110110000,39.66
176,2016-08-29,39.65,39.93,39.32,39.84,113318000,39.84
177,2016-09-05,39.92,40.54,39.4,39.42,124002000,39.42
178,2016-09-12,39.23,40.18,39.17,39.9,173052000,39.9
179,2016-09-19,40.06,40.95,39.68,40.75,134364000,40.75
180,2016-09-26,40.49,40.7,40.02,40.2,146410000,40.2
181,2016-10-03,40.13,40.42,39.81,40.04,124494000,40.04
182,2016-10-10,40.2,40.99,39.93,40.23,132130000,40.23
183,2016-10-17,40.3,41.49,40.19,41.2,157110000,41.2
184,2016-10-24,41.5,41.95,40.73,40.98,249232000,40.98
185,2016-10-31,41.12,41.13,38.55,39.06,221902000,39.06
186,2016-11-07,39.75,40.8,38.28,38.59,327248000,38.59
187,2016-11-14,38.59,39.56,37.18,38.8,235412000,38.8
188,2016-11-21,38.9,39.69,38.63,39.01,99030000,39.01
189,2016-11-28,38.92,39.99,37.67,38.22,220048000,38.22
190,2016-12-05,38.5,40.5,38.35,40.47,179380000,40.47
191,2016-12-12,40.24,41.22,40.23,40.49,198502000,40.49
192,2016-12-19,40.46,40.82,40.22,40.39,117844000,40.39
193,2016-12-26,40.43,40.8,39.48,39.62,99682000,39.62
194,2017-01-02,40.03,41.45,39.84,41.26,136638000,41.26
195,2017-01-09,41.32,41.73,41.05,41.55,131428000,41.55
196,2017-01-16,41.5,41.65,41.16,41.41,96906000,41.41
197,2017-01-23,41.58,43.35,41.44,42.25,260940000,42.25
198,2017-01-30,41.85,41.86,40.6,41.01,220108000,41.01
199,2017-02-06,41.05,41.86,40.71,41.74,138580000,41.74
200,2017-02-13,41.88,42.35,41.79,42.33,129650000,42.33
201,2017-02-20,42.4,42.69,42.13,42.39,104352000,42.39
202,2017-02-27,42.25,42.9,42.07,42.45,129360000,42.45
203,2017-03-06,42.34,43.21,42.06,43.07,115994000,43.07
204,2017-03-13,43.04,43.72,43.01,43.62,130680000,43.62
205,2017-03-20,43.47,43.67,41.46,41.76,216806000,41.76
206,2017-03-27,41.4,42.6,41.22,42.39,146030000,42.39
207,2017-04-03,42.44,43.03,41.87,42.1,156366000,42.1
208,2017-04-10,42.08,42.34,41.73,42.01,84600000,42.01
209,2017-04-17,42.07,43.2,42.05,42.95,108546000,42.95
210,2017-04-24,43.42,46.79,43.31,46.23,224920000,46.23
211,2017-05-01,46.21,47.96,46.04,47.51,189140000,47.51
212,2017-05-08,47.37,48.11,47.37,47.76,139132000,47.76
213,2017-05-15,47.76,48.29,47,47.73,160982000,47.73
214,2017-05-22,47.85,49.82,47.83,49.66,153126000,49.66
215,2017-05-29,49.63,49.98,49.06,49.81,125644000,49.81
216,2017-06-05,49.89,50.43,47.67,48.51,192818000,48.51
217,2017-06-12,47.94,48.99,46.84,47.93,253996000,47.93
218,2017-06-19,48.48,49.33,48.41,49.3,130024000,49.3
219,2017-06-26,49.5,49.7,46.48,46.48,244030000,46.48
220,2017-07-03,46.66,47.23,45.77,47.04,149342000,47.04
221,2017-07-10,47.1,48.94,47.1,48.85,142380000,48.85
222,2017-07-17,48.82,49.93,48.54,49.69,147352000,49.69
223,2017-07-24,49.71,50.31,46.85,47.92,353428000,47.92
224,2017-07-31,48,48.06,46.63,47.29,162080000,47.29
225,2017-08-07,47.38,47.62,46.06,46.5,173518000,46.5
226,2017-08-14,46.95,47.49,46.17,46.31,132710000,46.31
227,2017-08-21,46.29,47.32,45.93,46.53,133854000,46.53
228,2017-08-28,46.59,47.92,45.97,47.6,121290000,47.6
229,2017-09-04,47.34,47.57,46.63,47.07,99308000,47.07
230,2017-09-11,47.36,47.64,46.56,46.76,142786000,46.76
231,2017-09-18,46.75,47.64,46.27,47.16,143318000,47.16
232,2017-09-25,46.97,48.79,46.23,48.69,186254000,48.69
233,2017-10-02,48.78,49.71,48.1,49.68,140282000,49.68
234,2017-10-09,49.75,50.74,49.06,50.39,142644000,50.39
235,2017-10-16,50.48,50.82,49.87,50.25,133680000,50.25
236,2017-10-23,50.26,53.18,48.85,51.68,243340000,51.68
237,2017-10-30,51.46,52.53,51.12,52.5,174856000,52.5
238,2017-11-06,52.46,53.13,51.79,52.21,124008000,52.21
239,2017-11-13,52.04,52.59,51.47,51.79,108412000,51.79
240,2017-11-20,51.8,53,51.63,52.83,70762000,52.83
241,2017-11-27,52.93,54,50.85,51.25,210574000,51.25
242,2017-12-04,51.39,52.82,50.12,52.47,168522000,52.47
243,2017-12-11,52.56,53.76,52.21,53.6,179538000,53.6
244,2017-12-18,53.82,54.32,53.38,53.44,128798000,53.44
245,2017-12-25,53.43,53.44,52.63,52.67,84190000,52.67
246,2018-01-01,52.65,55.68,52.65,55.51,119386000,55.51
247,2018-01-08,55.55,56.56,55.2,56.53,133196000,56.53
248,2018-01-15,57.02,57.44,56.17,57.17,122342000,57.17
249,2018-01-22,57.19,59.38,57.09,59.38,177970000,59.38
250,2018-01-29,59.4,59.9,55.56,55.96,296210000,55.96
251,2018-02-05,55.03,55.75,49.85,52.31,377274000,52.31
252,2018-02-12,52.83,55.42,52.27,54.78,206474000,54.78
253,2018-02-19,54.64,56.81,54.5,56.4,128542000,56.4
254,2018-02-26,56.59,57.21,52.51,54.21,228668000,54.21
255,2018-03-05,53.91,58.05,53.61,58.04,159302000,58.04
256,2018-03-12,58.25,58.91,56.57,56.72,221354000,56.72
257,2018-03-19,55.89,55.97,51.24,51.33,282344000,51.33
258,2018-03-26,52.53,53.23,49.2,51.86,273836000,51.86
259,2018-04-02,51.38,52.34,49.71,50.5,243084000,50.5
260,2018-04-09,51,52.65,50.77,51.8,162206000,51.8
261,2018-04-16,52.28,54.88,51.7,53.87,197804000,53.87
262,2018-04-23,54.15,54.4,50.64,51.57,347342000,51.57
263,2018-04-30,51.72,52.59,50.39,52.55,180690000,52.55
264,2018-05-07,52.69,55.47,52.51,55.17,174508000,55.17
265,2018-05-14,55.28,55.91,53.23,53.48,161924000,53.48
266,2018-05-21,53.95,54.67,53.35,54.2,113974000,54.2
267,2018-05-28,53.8,56.91,53.15,56.75,207332000,56.75
268,2018-06-04,56.92,58.06,56.16,56.64,176044000,56.64
269,2018-06-11,56.65,58.3,56.57,57.96,165050000,57.96
270,2018-06-18,57.63,60.07,57.55,58.46,211192000,58.46
271,2018-06-25,57.75,57.8,55.3,56.46,188196000,56.46
272,2018-07-02,55.77,57.81,55.33,57.75,90078000,57.75
273,2018-07-09,58,60.52,57.77,60.22,152930000,60.22
274,2018-07-16,60.19,61.08,59.1,59.89,182170000,59.89
275,2018-07-23,59.78,64.57,59.6,62.64,327198000,62.64
276,2018-07-30,62.25,62.64,60.81,61.91,176240000,61.91
277,2018-08-06,62.08,63.6,61.53,62.63,152892000,62.63
278,2018-08-13,62.56,63.3,60.2,60.79,157900000,60.79
279,2018-08-20,61.03,61.87,60.44,61.84,116716000,61.84
280,2018-08-27,62.21,63.47,61.29,61.59,165248000,61.59
281,2018-09-03,61.13,61.39,58.18,58.88,174958000,58.88
282,2018-09-10,59.21,59.55,58.3,58.9,156884000,58.9
283,2018-09-17,58.89,59.83,57.92,58.61,212838000,58.61
284,2018-09-24,57.97,60.84,57.58,60.35,173838000,60.35
285,2018-10-01,60.65,61.23,57.72,58.39,178018000,58.39
286,2018-10-08,58,58.79,53.79,56.03,255926000,56.03
287,2018-10-15,55.9,57.35,54.32,55.26,191542000,55.26
288,2018-10-22,55.63,56.08,52.11,54.19,293482000,54.19
289,2018-10-29,54.83,55.44,50.36,53.57,295544000,53.57
290,2018-11-05,53.63,55.5,51.7,53.85,185960000,53.85
291,2018-11-12,53.66,53.94,52.02,53.41,171368000,53.41
292,2018-11-19,53.17,53.4,50.11,51.51,144018000,51.51
293,2018-11-26,52.2,55.48,51.99,55.48,201320000,55.48
294,2018-12-03,56.61,56.75,51.97,52.33,193280000,52.33
295,2018-12-10,52.15,54.59,51.65,52.59,157808000,52.59
296,2018-12-17,52.35,53.79,49.06,49.56,310166000,49.56
297,2018-12-24,49.22,53.21,48.88,52.33,163072000,52.33
298,2018-12-31,52.89,54,51.12,53.9,152960000,53.9
299,2019-01-07,54.05,54.67,52.82,53.22,167320000,53.22
300,2019-01-14,52.67,55.9,52.43,55.37,174076000,55.37
301,2019-01-21,54.8,55.17,53.38,55.08,117200000,55.08
302,2019-01-28,54.5,56.72,53.3,55.93,151838000,55.93
303,2019-02-04,55.95,57.7,54.68,55.12,269024000,55.12
304,2019-02-11,55.19,57.14,55,55.98,130508000,55.98
305,2019-02-18,55.83,56.55,54.9,55.83,108778000,55.83
306,2019-02-25,56.1,57.5,55.33,57.43,144834000,57.43
307,2019-03-04,57.73,58.82,56.51,57.5,152966000,57.5
308,2019-03-11,57.6,60.36,57.58,59.51,177328000,59.51
309,2019-03-18,59.48,61.82,59.07,60.38,158310000,60.38
310,2019-03-25,59.98,60.47,58.17,58.84,141048000,58.84
311,2019-04-01,59.38,61.03,59.32,60.57,109208000,60.57
312,2019-04-08,60.56,61.15,59.92,61.14,98238000,61.14
313,2019-04-15,61.2,62.3,60.73,62.07,101534000,62.07
314,2019-04-22,61.83,63.95,61.67,63.87,132920000,63.87
315,2019-04-29,64.03,64.85,57.92,59.48,366572000,59.48
316,2019-05-06,58.6,59.77,57.32,58.38,155104000,58.38
317,2019-05-13,57.26,59.71,56.07,58.44,205990000,58.44
318,2019-05-20,57.65,58.19,56.66,56.93,113758000,56.93
319,2019-05-27,57.07,57.82,55.17,55.33,106848000,55.33
320,2019-06-03,53.35,53.67,51.35,53.42,277238000,53.42
321,2019-06-10,53.85,55.2,53.48,54.31,131084000,54.31
322,2019-06-17,54.46,56.33,54.4,56.27,155802000,56.27
323,2019-06-24,56,56.18,53.68,54.14,148328000,54.14
324,2019-07-01,55.05,56.73,54.77,56.63,99774000,56.63
325,2019-07-08,56.29,57.66,55.36,57.27,137952000,57.27
326,2019-07-15,57.27,57.93,56.56,56.58,114688000,56.58
327,2019-07-22,56.77,63.42,56.19,62.26,252732000,62.26
328,2019-07-29,62.13,62.45,59.5,59.82,180294000,59.82
329,2019-08-05,58.65,60.31,57.14,59.44,165074000,59.44
330,2019-08-12,59,60.27,58.05,58.96,139350000,58.96
331,2019-08-19,59.59,60.47,57.5,57.68,112414000,57.68
332,2019-08-26,57.97,60.02,57.74,59.53,99136000,59.53
333,2019-09-02,59.09,60.7,58.19,60.32,92586000,60.32
334,2019-09-09,60.35,62.12,59.66,62,138618000,62
335,2019-09-16,61.52,62.22,60.82,61.49,120710000,61.49
336,2019-09-23,61.33,62.4,60.46,61.3,140688000,61.3
337,2019-09-30,61.03,61.64,58.16,60.55,134654000,60.55
338,2019-10-07,60.35,61.44,59.47,60.79,88246000,60.79
339,2019-10-14,60.69,63.19,60.59,62.22,116448000,62.22
340,2019-10-21,62.44,63.4,61.99,63.22,109566000,63.22
341,2019-10-28,63.75,64.96,62.47,63.61,208002000,63.61
342,2019-11-04,63.81,66.13,63.81,65.45,155938000,65.45
343,2019-11-11,65.2,66.68,64.61,66.68,134858000,66.68
344,2019-11-18,66.62,66.7,64.46,64.68,132062000,64.68
345,2019-11-25,64.81,65.88,64.78,65.2,77110000,65.2
346,2019-12-02,65.13,67.12,63.85,66.97,144690000,66.97
347,2019-12-09,66.94,67.88,66.7,67.34,131212000,67.34
348,2019-12-16,67.75,68.22,67.44,67.56,163418000,67.56
349,2019-12-23,67.94,68.35,67.21,67.73,80278000,67.73
350,2019-12-30,67.84,68.69,66.61,68.08,90194000,68.08
351,2020-01-06,67.58,71.75,67.55,71.45,175870000,71.45
352,2020-01-13,71.76,74.03,71.27,73.98,156860000,73.98
353,2020-01-20,73.95,75.03,73.16,73.31,133824000,73.31
354,2020-01-27,71.58,73.48,70.97,71.64,156354000,71.64
355,2020-02-03,73.08,74.32,71.1,73.96,270074000,73.96
356,2020-02-10,73.86,76.49,73.76,75.94,150308000,75.94
357,2020-02-17,75.72,76.54,73.92,74.17,116870000,74.17
358,2020-02-24,71.15,71.84,63.41,66.96,293404000,66.96
359,2020-03-02,67.57,70.41,62.86,64.79,278650000,64.79
360,2020-03-09,60.25,63.79,55.42,60.71,352582000,60.71
361,2020-03-16,54.48,57.63,51.85,53.41,429700000,53.41
362,2020-03-23,52.82,58.57,50.44,55.51,385820000,55.51
363,2020-03-30,56.63,58.67,53.75,54.63,283718000,54.63
364,2020-04-06,56.65,61.1,56.25,60.33,219302000,60.33
365,2020-04-13,60.08,64.5,59.12,63.95,253242000,63.95
366,2020-04-20,63.49,64.41,60.25,63.83,202840000,63.83
367,2020-04-27,64.6,68.01,61.52,65.87,337958000,65.87
368,2020-05-04,65.41,69.83,64.8,69.22,166182000,69.22
369,2020-05-11,68.84,70.78,66.17,68.65,185208000,68.65
370,2020-05-18,68.08,70.85,67.71,70.66,176380000,70.66
371,2020-05-25,72.1,72.26,69.73,71.68,148488000,71.68
372,2020-06-01,71.29,72.45,70.3,72,145960000,72
373,2020-06-08,71.31,73.64,69.29,70.65,183084000,70.65
374,2020-06-15,69.47,73.11,69.36,71.23,179372000,71.23
375,2020-06-22,71.25,73.79,67.75,68.13,220384000,68.13
376,2020-06-29,68.02,74.43,67.58,73.5,184760000,73.5
377,2020-07-06,74.41,77.07,73.85,76.95,196596000,76.95
378,2020-07-13,77.5,78.82,74.3,75.84,172836000,75.84
379,2020-07-20,75.75,79.35,74.38,75.41,145946000,75.41
380,2020-07-27,75.66,77.04,72.7,74.4,208220000,74.4
381,2020-08-03,74.55,76,73.2,74.92,172852000,74.92
382,2020-08-10,74.54,76.85,73.87,75.23,118486000,75.23
383,2020-08-17,75.8,79.59,75.25,78.78,140060000,78.78
384,2020-08-24,79.62,82.64,78.75,81.97,156744000,81.97
385,2020-08-31,82.18,86.31,76.9,79.06,218172000,79.06
386,2020-09-07,76.25,78.68,74.65,75.79,157004000,75.79
387,2020-09-14,76.58,77.85,71.58,72.55,190894000,72.55
388,2020-09-21,71.58,73.2,70.11,71.95,193462000,71.95
389,2020-09-28,73.6,74.75,72.31,72.78,167630000,72.78
390,2020-10-05,73.13,75.59,71.66,75.52,142848000,75.52
391,2020-10-12,76.9,79.42,76.46,78.39,192994000,78.39
392,2020-10-19,78.8,81.71,76.03,81.65,192786000,81.65
393,2020-10-26,80.75,84.07,75.42,80.81,262186000,80.81
394,2020-11-02,81.18,89.59,80.61,87.99,215382000,87.99
395,2020-11-09,89.8,90.84,85.81,88.61,184518000,88.61
396,2020-11-16,88.21,89.72,86.5,86.82,114690000,86.82
397,2020-11-23,87.01,89.85,85.51,89.35,84904000,89.35
398,2020-11-30,88.78,92.19,87.39,91.19,144464000,91.19
399,2020-12-07,90.78,91.46,86.68,88.74,121268000,88.74
400,2020-12-14,88.54,89.49,85.75,86.31,199214000,86.31
401,2020-12-21,85.46,87.21,84.7,86.71,86630000,86.71
402,2020-12-28,87.25,89.42,86.4,87.63,89472000,87.63
403,2021-01-04,88,89.97,84.81,89.89,181692000,89.89
404,2021-01-11,88.85,89.22,85.59,86.38,148412000,86.38
405,2021-01-18,87.15,96.6,86.64,94.63,197190000,94.63
406,2021-01-25,95.64,96.09,89.86,91.37,264368000,91.37
407,2021-02-01,92.23,105.33,92.23,104.44,282928000,104.44
408,2021-02-08,105,105.75,102.61,104.75,115292000,104.75
409,2021-02-15,104.59,107.26,104.17,104.44,111782000,104.44
410,2021-02-22,102.68,104.42,99.51,101.1,168322000,101.1
411,2021-03-01,102.4,105.31,99.7,104.85,187832000,104.85
412,2021-03-08,104.2,105.69,100.26,102.5,159408000,102.5
413,2021-03-15,102.25,105.68,100.15,101.35,162222000,101.35
414,2021-03-22,101.38,103.38,99.8,101.24,150858000,101.24
415,2021-03-29,101.11,106.79,100.27,106.49,136254000,106.49
416,2021-04-05,107.36,113.7,107.26,113.53,162694000,113.53
417,2021-04-12,112.71,114.8,111.39,114.14,127164000,114.14
418,2021-04-19,113.51,115.31,112.02,115,128994000,115
419,2021-04-26,115.23,121.57,114.31,117.68,243620000,117.68
420,2021-05-03,118.25,119.08,112.83,117.6,153784000,117.6
421,2021-05-10,116.41,116.55,109.68,113.92,176676000,113.92
422,2021-05-17,113.18,115.94,111.27,114.71,140470000,114.71
423,2021-05-24,115.74,119.45,115.6,117.84,132550000,117.84
