Date,USD,EUR,GBP,INR,AED,CNY
1985-02-15,304.0,412.63,275.49,3908.11,1111.57,857.45
1985-02-18,304.5,416.4,278.46,3917.56,1119.22,865.35
1985-02-19,302.6,416.1,276.73,3923.52,1111.88,859.67
1985-02-20,302.9,419.37,278.91,3943.74,1119.19,865.32
1985-02-21,299.85,418.42,277.13,3942.27,1120.36,866.23
1985-02-22,298.4,420.94,277.07,3918.61,1113.63,861.03
1985-02-25,284.25,408.71,269.56,3855.67,1067.05,839.47
1985-02-26,285.75,408.29,271.5,3740.12,1050.64,826.57
1985-02-27,290.8,402.81,267.4,3702.36,1037.16,815.96
1985-02-28,287.75,400.46,266.44,3783.14,1043.65,821.07
1985-03-01,287.25,401.54,267.83,3751.75,1042.26,819.98
1985-03-04,288.65,404.8,270.15,3790.93,1062.27,824.02
1985-03-05,287.9,410.26,272.76,3784.45,1077.22,835.62
1985-03-06,287.4,405.32,267.97,3687.17,1052.44,816.39
1985-03-07,289.6,409.62,271.54,3783.28,1067.95,828.43
1985-03-08,291.0,411.97,272.86,3758.38,1066.85,827.57
1985-03-11,291.0,405.25,267.22,3730.76,1060.87,813.84
1985-03-12,288.45,402.13,264.88,3697.43,1055.39,809.63
1985-03-13,290.25,406.02,267.27,3767.67,1063.43,815.81
1985-03-14,290.75,410.24,269.09,3782.81,1069.21,820.24
1985-03-15,292.7,412.58,270.02,3756.1,1064.66,816.75
1985-03-18,298.85,417.5,270.09,3742.59,1072.08,829.05
1985-03-19,316.75,434.73,278.71,3878.1,1091.76,844.27
1985-03-20,324.0,441.66,281.37,4181.54,1168.73,903.79
1985-03-21,318.5,428.58,268.1,3828.91,1062.45,821.6
1985-03-22,315.5,425.44,268.85,4042.68,1103.8,853.58
1985-03-25,314.6,426.33,268.54,3936.96,1157.63,902.78
1985-03-26,323.75,435.2,273.78,3988.52,1147.22,894.66
1985-03-27,330.4,433.65,266.67,4016.05,1143.07,891.42
1985-03-28,326.25,427.74,265.68,4080.35,1149.11,896.14
1985-03-29,329.25,425.73,266.06,4001.58,1144.11,892.23
1985-04-01,321.1,418.52,262.66,4022.65,1192.19,934.77
1985-04-02,318.75,420.09,263.98,3965.64,1178.74,924.22
1985-04-03,321.25,420.93,264.73,4009.19,1188.08,931.55
1985-04-04,316.75,420.47,264.73,3960.84,1173.15,932.72
1985-04-05,316.75,420.47,264.73,3960.84,1173.15,932.72
1985-04-08,316.75,420.47,264.73,3960.84,1173.15,910.99
1985-04-09,323.1,425.98,267.91,4084.0,1186.31,921.21
1985-04-10,327.25,429.21,269.12,4046.75,1177.28,914.2
1985-04-11,332.25,429.08,266.23,4012.51,1167.32,906.46
1985-04-12,329.9,423.24,262.45,4053.6,1166.71,905.99
1985-04-15,334.25,424.38,262.16,3989.5,1217.06,921.99
1985-04-16,330.5,420.04,259.22,4049.84,1221.48,925.34
1985-04-17,327.35,415.56,256.04,3983.93,1201.6,910.28
1985-04-18,329.75,414.0,255.32,3883.4,1184.05,896.98
1985-04-19,327.0,408.63,252.7,3932.4,1189.75,901.3
1985-04-22,327.75,414.72,256.56,4024.53,1214.29,943.34
1985-04-23,326.65,420.78,260.9,4062.14,1231.09,956.39
1985-04-24,322.0,421.72,262.86,4045.28,1245.11,967.27
1985-04-25,322.5,425.72,267.75,4049.37,1265.51,983.13
1985-04-26,323.5,425.35,265.93,3962.71,1253.42,973.73
1985-04-29,322.5,421.36,262.2,3978.42,1184.86,905.19
1985-04-30,321.35,417.93,258.63,3994.61,1178.75,900.52
1985-05-01,312.5,411.88,255.42,3938.15,1163.86,889.15
1985-05-02,313.25,415.61,256.45,3933.1,1160.6,886.65
1985-05-03,312.75,421.13,258.9,3934.24,1155.6,895.14
1985-05-06,312.75,421.13,258.9,3934.24,1155.6,910.48
1985-05-07,313.5,416.18,257.39,3880.04,1136.98,895.81
1985-05-08,312.85,417.84,258.98,3941.57,1154.13,909.32
1985-05-09,315.1,411.68,254.73,3875.67,1131.39,891.41
1985-05-10,314.5,412.45,254.86,3890.53,1130.53,890.73
1985-05-13,321.0,414.1,255.98,3864.04,1161.99,894.26
1985-05-14,326.5,417.45,256.38,3983.86,1173.1,902.81
1985-05-15,322.75,416.25,255.44,3985.66,1175.47,904.63
1985-05-16,320.1,415.94,254.35,3977.95,1171.36,901.47
1985-05-17,322.5,416.48,254.94,3943.93,1163.16,895.16
1985-05-20,323.3,411.87,252.09,3961.42,1193.22,903.23
1985-05-21,314.9,404.89,247.56,3893.93,1176.67,890.7
1985-05-22,316.25,409.21,250.2,3935.86,1187.49,898.89
1985-05-23,315.4,407.35,249.82,3903.64,1185.15,897.12
1985-05-24,314.7,408.39,249.76,3917.34,1164.65,898.9
1985-05-27,314.7,408.39,249.76,3917.34,1164.65,903.7
1985-05-28,311.25,406.58,248.7,3919.05,1163.3,902.65
1985-05-29,312.0,403.49,246.15,3836.29,1138.73,883.59
1985-05-30,314.6,406.84,246.84,3898.39,1146.31,889.46
1985-05-31,314.0,403.43,244.07,3856.98,1128.77,875.85
1985-06-03,318.1,407.89,246.26,3927.43,1175.67,886.26
1985-06-04,315.65,404.81,247.18,3966.56,1189.2,896.46
1985-06-05,314.2,405.87,249.96,3937.0,1193.5,899.7
1985-06-06,314.8,404.17,247.58,3892.8,1181.95,891.0
1985-06-07,314.3,406.47,247.87,3903.47,1183.33,892.04
1985-06-10,312.0,406.22,248.11,3891.6,1143.41,903.93
1985-06-11,315.0,408.09,249.41,3921.49,1154.0,912.3
1985-06-12,314.5,407.18,248.13,3907.49,1148.08,907.62
1985-06-13,313.75,407.95,248.12,3907.42,1148.06,907.6
1985-06-14,318.25,408.54,248.44,3912.42,1149.53,908.77
1985-06-17,318.9,410.6,249.24,3936.72,1168.43,900.17
1985-06-18,323.75,412.97,249.13,3948.26,1167.94,899.8
1985-06-19,325.4,413.1,248.97,3996.27,1167.16,899.19
1985-06-20,318.1,411.16,248.9,3944.61,1166.86,898.97
1985-06-21,313.45,404.02,243.46,3851.55,1141.14,879.15
1985-06-24,314.65,406.14,244.58,3875.95,1155.45,905.9
1985-06-25,315.5,406.53,245.43,3901.92,1159.66,909.19
1985-06-26,316.75,405.49,243.94,3871.99,1152.6,903.66
1985-06-27,315.0,404.99,243.71,3886.99,1151.55,902.84
1985-06-28,317.75,404.96,242.56,3874.71,1146.08,898.55
1985-07-01,313.9,401.15,240.44,3847.11,1155.34,905.51
1985-07-02,308.25,394.38,236.3,3774.71,1135.41,889.9
1985-07-03,310.35,395.67,236.55,3790.2,1136.43,890.69
1985-07-04,310.55,395.54,235.71,3801.18,1132.41,887.55
1985-07-05,311.6,393.78,234.73,3804.34,1127.86,883.98
1985-07-08,309.25,387.57,229.93,3777.68,1129.4,882.92
1985-07-09,314.85,391.63,230.58,3779.3,1132.4,885.27
1985-07-10,314.85,388.74,227.08,3803.12,1115.25,871.86
1985-07-11,313.55,385.43,226.88,3755.71,1114.26,871.09
1985-07-12,315.65,385.32,227.74,3757.52,1118.49,874.39
1985-07-15,315.85,384.1,227.48,3798.24,1157.67,901.5
1985-07-16,321.75,392.14,231.81,3850.64,1179.9,918.82
1985-07-17,325.6,389.68,230.51,3816.45,1173.31,913.69
1985-07-18,320.0,387.97,227.84,3790.99,1159.7,903.09
1985-07-19,318.9,388.9,227.95,3799.15,1160.26,903.52
1985-07-22,317.25,390.0,228.4,3791.46,1163.02,921.92
1985-07-23,322.5,392.26,228.56,3809.43,1163.84,922.57
1985-07-24,317.75,390.76,227.45,3790.94,1158.18,918.09
1985-07-25,317.4,387.4,224.95,3755.26,1145.43,907.98
1985-07-26,316.95,387.28,225.03,3755.99,1145.65,908.15
1985-07-29,326.5,393.36,228.48,3831.63,1198.61,932.52
1985-07-30,325.25,390.66,228.57,3828.58,1199.06,932.87
1985-07-31,327.5,393.64,232.52,3901.28,1219.78,948.99
1985-08-01,322.1,387.77,232.9,3868.77,1221.79,950.56
1985-08-02,320.5,386.74,233.69,3843.53,1225.92,953.77
1985-08-05,323.75,390.65,236.57,3860.86,1188.07,941.32
1985-08-06,319.8,388.37,237.5,3861.87,1192.75,945.03
1985-08-07,321.15,390.41,239.93,3856.85,1204.76,954.54
1985-08-08,322.5,390.13,237.74,3840.78,1193.95,945.98
1985-08-09,321.65,389.31,236.77,3843.05,1188.87,941.95
1985-08-12,326.65,391.27,236.1,3836.11,1195.45,938.44
1985-08-13,326.5,389.77,234.98,3871.12,1189.92,934.1
1985-08-14,326.0,388.87,235.38,3877.75,1191.96,935.7
1985-08-15,331.1,391.85,237.18,3913.83,1201.07,942.85
1985-08-16,335.35,395.66,239.45,3983.59,1212.4,951.74
1985-08-19,340.9,403.38,243.59,4019.18,1254.72,989.91
1985-08-20,334.15,397.09,240.48,3980.9,1238.54,977.15
1985-08-21,335.9,397.42,241.13,3985.68,1242.08,979.95
1985-08-22,335.5,394.2,238.37,3939.92,1227.82,968.7
1985-08-23,334.85,394.52,238.67,3925.49,1230.86,969.77
1985-08-26,334.85,394.52,238.67,3925.49,1230.86,969.77
1985-08-27,336.0,400.05,241.12,3972.32,1243.7,979.89
1985-08-28,340.9,404.65,243.15,4019.04,1254.18,988.15
1985-08-29,337.0,401.09,240.71,4011.91,1241.6,978.24
1985-08-30,333.25,399.98,239.23,3973.95,1233.96,972.21
1985-09-02,334.65,406.48,242.94,3986.9,1227.04,983.15
1985-09-03,328.2,400.53,239.74,3963.19,1216.13,974.42
1985-09-04,326.0,397.06,237.26,3981.69,1211.71,970.87
1985-09-05,325.75,398.34,238.64,3944.53,1210.41,969.83
1985-09-06,317.4,396.41,239.46,4121.54,1275.17,1021.72
1985-09-09,319.35,401.14,244.71,3914.79,1174.19,962.79
1985-09-10,321.65,403.56,244.97,3937.87,1175.44,963.82
1985-09-11,320.75,405.13,245.22,3978.5,1179.94,967.5
1985-09-12,319.25,401.24,241.86,3894.63,1160.67,951.7
1985-09-13,321.3,398.99,239.6,3854.85,1135.87,931.37
1985-09-16,319.3,394.74,237.75,3875.35,1163.79,943.09
1985-09-17,317.6,392.62,237.1,3886.93,1160.62,940.52
1985-09-18,316.25,392.89,236.71,3867.89,1158.72,938.97
1985-09-19,316.3,393.28,235.96,3880.87,1155.01,935.97
1985-09-20,319.15,389.44,232.96,3849.9,1140.14,923.92
1985-09-23,327.45,384.05,229.47,3785.64,1204.52,938.86
1985-09-24,327.9,382.57,228.98,3867.91,1202.15,937.01
1985-09-25,328.5,380.25,228.13,3853.46,1197.66,933.51
1985-09-26,329.25,377.83,228.88,3859.77,1201.64,936.62
1985-09-27,328.6,379.49,233.63,3906.85,1226.55,956.03
1985-09-30,325.75,375.93,231.19,3826.23,1191.57,963.1
1985-10-01,322.25,368.49,228.22,3835.66,1176.26,950.73
1985-10-02,324.95,370.97,229.81,3823.18,1184.25,957.19
1985-10-03,324.9,367.48,227.84,3829.24,1174.29,949.14
1985-10-04,328.0,372.4,231.8,3936.04,1196.89,967.41
1985-10-07,325.75,371.76,230.46,3871.66,1202.29,984.56
1985-10-08,326.35,372.24,230.96,3947.47,1204.75,986.57
1985-10-09,326.55,372.28,230.7,3902.89,1203.36,985.43
1985-10-10,325.5,372.59,230.69,3909.97,1203.5,985.54
1985-10-11,325.6,372.85,230.59,3908.4,1203.01,985.15
1985-10-14,326.65,374.26,231.09,3904.87,1201.04,987.12
1985-10-15,327.0,374.77,231.42,3949.18,1202.94,988.68
1985-10-16,323.65,373.97,229.86,3921.99,1194.65,981.88
1985-10-17,325.5,371.3,230.12,3877.53,1189.17,977.37
1985-10-18,326.25,370.94,228.55,3900.1,1187.98,976.4
1985-10-21,326.15,370.5,227.44,3890.43,1198.14,993.65
1985-10-22,327.75,372.91,228.72,3909.67,1204.49,998.92
1985-10-23,325.9,370.49,227.27,3898.23,1196.85,992.59
1985-10-24,326.2,372.37,229.48,3943.49,1208.68,1002.39
1985-10-25,325.4,371.8,228.75,3933.96,1207.82,1001.68
1985-10-28,326.5,371.99,228.72,3911.13,1197.43,1015.02
1985-10-29,326.3,369.24,227.39,3913.71,1190.44,1009.1
1985-10-30,326.2,368.85,226.37,3904.14,1185.48,1004.89
1985-10-31,325.1,366.57,225.61,3899.86,1181.12,1001.2
1985-11-01,323.5,363.79,224.58,3865.32,1175.72,996.62
1985-11-04,325.35,364.15,225.78,3860.25,1193.02,1043.19
1985-11-05,324.6,365.73,226.52,3912.23,1197.1,1046.76
1985-11-06,324.4,363.73,225.83,3907.02,1193.45,1043.57
1985-11-07,323.0,364.95,227.71,3939.53,1203.38,1052.25
1985-11-08,321.95,363.98,227.21,3889.86,1204.65,1053.36
1985-11-11,323.1,365.78,227.54,3886.3,1186.14,1027.73
1985-11-12,323.1,365.27,228.74,3910.14,1192.44,1033.19
1985-11-13,324.5,365.96,227.88,3908.74,1187.93,1029.28
1985-11-14,325.3,366.96,227.88,3922.21,1187.94,1029.29
1985-11-15,325.4,367.88,228.75,3894.86,1179.66,1022.11
1985-11-18,323.5,364.8,226.94,3912.4,1187.34,1039.26
1985-11-19,324.35,363.61,226.03,3889.72,1182.4,1034.94
1985-11-20,325.65,366.53,227.17,3909.4,1188.38,1040.17
1985-11-21,325.8,364.48,225.94,3902.19,1182.1,1034.67
1985-11-22,326.5,362.86,224.55,3932.61,1174.86,1028.34
1985-11-25,330.2,365.4,225.62,3926.44,1210.5,1055.9
1985-11-26,331.25,364.38,225.26,3958.93,1208.38,1054.05
1985-11-27,328.15,360.05,222.63,3898.26,1194.05,1041.55
1985-11-28,326.3,356.6,220.92,3882.61,1185.09,1033.73
1985-11-29,325.3,353.9,218.54,3861.15,1172.33,1022.6
1985-12-02,321.5,350.44,216.13,3825.58,1186.32,1022.68
1985-12-03,322.6,353.6,218.05,3878.63,1196.44,1031.41
1985-12-04,324.2,353.3,218.1,3881.31,1197.27,1032.13
1985-12-05,322.8,352.21,218.11,3880.92,1197.15,1032.02
1985-12-06,322.3,352.46,218.14,3881.47,1197.32,1032.17
1985-12-09,317.4,348.08,217.62,3819.24,1169.02,1029.72
1985-12-10,317.0,348.38,220.91,3875.56,1186.66,1045.26
1985-12-11,315.5,347.06,222.97,3877.71,1197.74,1055.02
1985-12-12,317.5,346.1,220.56,3796.26,1184.82,1043.64
1985-12-13,317.75,347.72,221.12,3845.57,1187.82,1046.28
1985-12-16,318.6,348.56,221.56,3855.1,1168.01,1013.32
1985-12-17,321.15,349.32,223.49,3849.16,1168.82,1014.02
1985-12-18,320.05,349.64,225.39,3895.25,1182.81,1026.16
1985-12-19,325.8,356.01,229.28,3865.66,1181.98,1025.44
1985-12-20,325.55,355.6,228.54,3933.49,1204.8,1045.23
1985-12-23,327.6,356.73,229.49,3915.72,1197.0,1043.04
1985-12-24,324.85,353.61,228.04,3981.46,1199.52,1045.23
1985-12-25,324.85,353.61,228.04,3981.46,1199.52,1045.23
1985-12-26,324.85,353.61,228.04,3981.46,1199.52,1045.23
1985-12-27,326.85,351.34,227.29,3916.78,1188.26,1035.42
1985-12-30,326.8,349.95,227.1,3931.14,1201.37,1051.44
1985-12-31,326.8,347.51,226.08,3920.61,1196.7,1047.35
1986-01-01,326.8,347.51,226.08,3920.61,1196.7,1047.35
1986-01-02,326.3,345.98,224.96,3932.81,1191.93,1041.51
1986-01-03,326.75,349.66,227.07,3955.88,1199.94,1051.28
1986-01-06,328.0,348.92,228.41,3940.11,1211.33,1057.5
1986-01-07,330.0,349.76,229.17,4013.41,1213.38,1061.0
1986-01-08,332.6,354.5,230.41,3993.27,1221.59,1066.76
1986-01-09,333.5,354.54,229.53,4009.16,1216.77,1062.66
1986-01-10,340.45,362.74,234.07,4134.84,1252.02,1083.52
1986-01-13,339.4,365.54,235.2,4106.66,1241.0,1088.95
1986-01-14,341.0,365.33,236.72,4167.66,1250.79,1095.98
1986-01-15,346.75,370.63,240.46,4233.52,1270.56,1113.3
1986-01-16,363.0,388.87,252.35,4442.7,1333.71,1168.31
1986-01-17,352.6,377.31,245.29,4147.1,1250.99,1096.34
1986-01-20,351.0,376.81,247.97,4302.26,1289.25,1148.05
1986-01-21,356.5,380.78,253.38,4421.92,1313.56,1173.08
1986-01-22,353.0,375.38,253.14,4417.75,1302.9,1171.98
1986-01-23,350.3,373.05,253.02,4354.82,1278.49,1171.41
1986-01-24,354.0,372.82,253.95,4368.6,1290.51,1171.07
1986-01-27,358.4,374.1,257.56,4365.71,1310.29,1147.5
1986-01-28,353.0,368.3,250.35,4353.99,1292.21,1115.38
1986-01-29,353.25,367.06,251.87,4350.13,1297.46,1122.14
1986-01-30,358.0,371.91,254.71,4376.52,1319.2,1134.8
1986-01-31,350.5,364.1,248.05,4329.04,1275.99,1105.13
1986-02-03,347.3,362.12,250.49,4255.77,1277.92,1140.42
1986-02-04,338.6,355.61,245.9,4254.26,1242.33,1119.52
1986-02-05,337.3,350.19,242.4,4164.94,1239.82,1103.6
1986-02-06,337.1,350.16,240.96,4190.57,1236.84,1097.03
1986-02-07,337.2,352.12,240.94,4190.94,1239.23,1097.13
1986-02-10,340.15,352.81,241.5,4206.28,1247.82,1073.37
1986-02-11,335.8,346.92,237.82,4186.93,1234.99,1057.17
1986-02-12,337.25,347.2,238.85,4175.62,1242.59,1061.74
1986-02-13,334.0,341.82,235.54,4154.2,1224.18,1047.06
1986-02-14,331.35,338.33,233.67,4187.23,1239.24,1057.25
1986-02-17,333.0,338.93,234.42,4152.41,1238.3,1072.24
1986-02-18,337.25,343.87,236.17,4136.06,1239.54,1066.61
1986-02-19,341.4,341.14,235.37,4165.79,1262.57,1062.99
1986-02-20,337.1,338.27,232.16,4116.36,1240.44,1048.52
1986-02-21,338.0,339.88,233.59,4088.49,1217.65,1034.04
1986-02-24,341.8,339.9,233.55,4161.85,1253.75,1083.97
1986-02-25,352.4,344.9,236.11,4269.69,1294.32,1095.88
1986-02-26,345.75,335.85,232.28,4185.23,1270.75,1078.08
1986-02-27,336.9,326.43,227.17,4078.53,1240.03,1054.39
1986-02-28,338.15,328.64,233.69,4172.41,1252.51,1084.47
1986-03-03,335.6,324.7,232.73,4072.82,1229.23,1106.88
1986-03-04,337.15,323.26,230.37,4094.91,1240.37,1095.49
1986-03-05,341.5,335.68,235.19,4211.15,1257.58,1118.58
1986-03-06,344.5,336.72,236.28,4219.32,1263.64,1123.76
1986-03-07,343.35,334.69,236.14,4133.89,1248.92,1105.92
1986-03-10,340.25,337.46,235.55,4122.1,1247.47,1098.43
1986-03-11,342.9,338.16,235.51,4153.59,1261.03,1098.25
1986-03-12,343.85,341.61,234.31,4219.28,1268.31,1092.5
1986-03-13,349.6,349.04,239.53,4306.22,1282.71,1117.02
1986-03-14,348.0,342.89,237.7,4221.32,1261.81,1093.52
1986-03-17,349.9,342.32,238.84,4263.28,1286.33,1125.7
1986-03-18,351.15,343.67,237.66,4266.26,1281.48,1120.0
1986-03-19,346.75,341.13,234.29,4236.72,1269.97,1104.26
1986-03-20,350.65,343.34,235.49,4284.99,1287.61,1109.77
1986-03-21,352.9,344.06,233.48,4260.53,1288.91,1100.42
1986-03-24,350.2,348.15,235.19,4234.05,1286.04,1099.49
1986-03-25,351.75,357.46,240.6,4319.47,1293.68,1124.59
1986-03-26,344.3,348.88,233.42,4205.82,1262.41,1091.07
1986-03-27,344.0,348.01,231.81,4172.51,1253.67,1099.04
1986-03-28,344.0,348.01,231.81,4172.51,1259.69,1099.04
1986-03-31,344.0,348.01,231.81,4172.51,1259.69,1099.04
1986-04-01,333.1,337.55,226.37,4123.26,1218.76,1073.25
1986-04-02,335.5,345.62,228.0,4145.42,1229.6,1080.99
1986-04-03,334.75,348.32,229.6,4189.71,1231.26,1088.56
1986-04-04,334.5,352.93,231.01,4200.14,1227.81,1095.26
1986-04-07,337.65,354.36,231.66,4169.33,1235.34,1083.84
1986-04-08,339.4,348.43,230.88,4252.02,1252.32,1080.35
1986-04-09,337.85,345.88,230.61,4219.22,1237.35,1078.93
1986-04-10,337.7,345.76,230.59,4231.64,1239.67,1079.14
1986-04-11,341.95,346.04,231.83,4184.13,1231.53,1061.15
1986-04-14,341.6,346.49,230.58,4219.56,1252.15,1089.85
1986-04-15,341.75,346.83,230.91,4264.3,1255.12,1091.43
1986-04-16,339.0,335.19,225.17,4177.63,1245.38,1064.31
1986-04-17,339.9,332.51,222.96,4167.44,1242.71,1053.83
1986-04-18,342.75,334.77,225.72,4192.86,1253.33,1064.22
1986-04-21,341.4,331.56,225.87,4194.37,1249.62,1101.13
1986-04-22,344.1,332.61,227.28,4260.13,1268.73,1108.01
1986-04-23,346.2,333.79,227.17,4254.65,1272.88,1107.61
1986-04-24,344.75,333.72,224.52,4226.24,1266.24,1094.56
1986-04-25,344.45,330.62,223.96,4217.09,1256.79,1091.67
1986-04-28,343.15,326.69,220.6,4102.64,1253.18,1075.31
1986-04-29,342.45,327.52,220.58,4192.83,1257.89,1075.19
1986-04-30,345.75,329.63,222.92,4206.07,1270.76,1086.76
1986-05-01,345.1,334.35,225.63,4249.05,1268.66,1099.97
1986-05-02,341.6,332.04,224.44,4194.81,1259.06,1086.86
1986-05-05,341.6,332.04,224.44,4194.81,1259.06,1086.86
1986-05-06,340.4,330.66,221.9,4186.85,1250.26,1074.57
1986-05-07,342.45,331.14,222.23,4212.18,1253.95,1075.97
1986-05-08,345.25,330.77,223.9,4224.47,1275.94,1084.22
1986-05-09,345.35,330.87,224.11,4268.09,1267.03,1085.08
1986-05-12,345.2,330.28,223.29,4220.71,1267.55,1100.27
1986-05-13,343.7,332.08,223.98,4266.94,1264.45,1103.7
1986-05-14,342.45,329.35,222.44,4204.35,1253.55,1095.79
1986-05-15,342.0,330.63,222.8,4235.76,1259.89,1097.72
1986-05-16,343.0,333.77,224.84,4258.42,1258.68,1107.79
1986-05-19,340.8,333.65,224.51,4247.45,1261.34,1091.72
1986-05-20,338.7,333.95,223.27,4231.09,1246.92,1082.38
1986-05-21,338.9,334.26,223.4,4227.09,1244.07,1082.38
1986-05-22,340.45,341.3,228.03,4302.46,1258.1,1104.81
1986-05-23,341.1,341.51,228.01,4218.15,1244.88,1101.85
1986-05-26,341.1,341.51,228.01,4218.15,1244.87,1101.85
1986-05-27,341.5,341.68,226.76,4294.69,1244.91,1095.82
1986-05-28,343.75,344.81,228.86,4342.72,1266.81,1105.97
1986-05-29,342.7,347.44,229.77,4319.59,1262.76,1110.52
1986-05-30,343.2,350.96,233.07,4364.66,1259.76,1126.33
1986-06-02,341.85,349.34,231.92,4322.47,1246.45,1097.65
1986-06-03,342.2,342.58,229.13,4331.94,1257.0,1094.03
1986-06-04,340.75,341.52,229.69,4325.68,1254.53,1096.58
1986-06-05,341.75,336.94,228.44,4302.12,1248.38,1090.61
1986-06-06,341.65,335.32,227.01,4282.58,1257.05,1083.61
1986-06-09,341.8,336.66,228.17,4278.21,1264.98,1089.31
1986-06-10,347.7,339.94,229.05,4314.21,1276.11,1093.67
1986-06-11,347.4,338.71,227.58,4318.39,1281.33,1086.49
1986-06-12,348.35,339.3,228.73,4347.78,1284.51,1091.8
1986-06-13,346.2,337.06,227.09,4284.39,1253.91,1069.75
1986-06-16,339.3,329.27,222.86,4189.71,1250.23,1084.8
1986-06-17,336.75,331.82,224.28,4239.62,1243.16,1091.71
1986-06-18,339.15,334.88,226.02,4280.13,1245.89,1100.06
1986-06-19,339.2,333.91,225.53,4280.17,1246.02,1097.98
1986-06-20,339.65,336.04,226.43,4371.84,1274.32,1123.63
1986-06-23,341.05,338.04,227.37,4273.86,1241.13,1095.38
1986-06-24,342.0,334.63,225.45,4261.72,1251.62,1086.28
1986-06-25,344.15,336.12,226.86,4304.16,1266.67,1092.95
1986-06-26,344.9,337.82,226.98,4298.91,1264.24,1093.69
1986-06-27,344.5,334.77,225.24,4295.2,1263.81,1086.54
1986-06-30,346.75,336.16,226.26,4276.39,1274.38,1101.73
1986-07-01,345.1,331.05,222.65,4240.85,1263.79,1084.1
1986-07-02,342.3,329.99,222.71,4242.02,1260.02,1084.4
1986-07-03,343.85,329.63,222.41,4217.32,1256.34,1078.09
1986-07-04,343.8,329.85,223.68,4242.02,1261.85,1084.4
1986-07-07,344.85,331.73,224.73,4246.8,1271.85,1105.59
1986-07-08,347.85,334.45,227.28,4312.06,1287.97,1118.12
1986-07-09,348.1,335.23,228.11,4328.51,1278.97,1122.38
1986-07-10,346.8,332.85,228.68,4347.61,1272.69,1125.2
1986-07-11,348.1,335.64,231.3,4372.32,1281.55,1138.04
1986-07-14,345.75,329.27,230.76,4322.16,1254.42,1280.56
1986-07-15,346.0,330.96,231.36,4308.4,1257.68,1283.89
1986-07-16,347.6,330.23,229.67,4292.83,1275.05,1274.49
1986-07-17,347.0,329.4,228.89,4343.29,1271.67,1270.19
1986-07-18,347.9,328.72,231.39,4368.41,1270.91,1284.81
1986-07-21,353.95,332.42,236.05,4408.7,1298.23,1325.44
1986-07-22,353.5,334.02,237.17,4441.36,1304.01,1331.94
1986-07-23,347.25,327.77,232.74,4342.18,1270.3,1307.07
1986-07-24,348.65,329.51,233.37,4336.37,1271.22,1305.33
1986-07-25,349.4,331.73,235.6,4395.58,1286.93,1323.15
1986-07-28,353.6,331.38,238.68,4386.88,1289.15,1307.26
1986-07-29,351.25,329.03,235.98,4402.88,1296.36,1302.21
1986-07-30,351.65,329.64,235.93,4438.08,1298.07,1300.47
1986-07-31,357.5,332.15,239.53,4468.86,1312.69,1311.94
1986-08-01,361.0,334.24,243.02,4542.36,1312.53,1331.02
1986-08-04,359.8,332.91,244.6,4512.54,1317.88,1338.28
1986-08-05,358.5,332.67,241.25,4500.96,1314.52,1319.99
